ID,Fuel_Type,Monthly_Distance_Km,Body_Type,Sex,Diet,Social_Activity,Transport,Vehicle_Type,Air_Travel,Waste_Bag_Size,Waste_Bag_Weekly_Count,Energy_Efficiency,TV_PC_Usage,New_Clothes_Monthly,Transport_Emissions,Energy_Emissions,Diet_Emissions,Waste_Emissions,Total_Emissions
15,CNG,2310,Obese,Male,Vegetarian,Often,Walk/Bicycle,Electric,Never,Extra Large,0,No,10,6,311.85,210,108,0,629.85
16,Petrol,970,Overweight,Female,Pescatarian,Never,Walk/Bicycle,Petrol,Very Frequently,Medium,8,Yes,13,28,186.725,273,162,3.2,624.925
17,CNG,2581,Obese,Male,Omnivore,No,Walk/Bicycle,None,Rarely,Large,5,No,22,14,348.435,462,225,2,1037.435
18,CNG,1329,Obese,Female,Pescatarian,Never,Private,None,Frequently,Small,7,No,13,9,179.415,273,162,2.8,617.215
19,CNG,2409,Underweight,Female,Vegan,Never,Private,None,Very Frequently,Medium,9,No,5,8,325.215,105,63,3.6,496.815
20,Electric,2768,Obese,Female,Vegan,Never,Private,Diesel,Very Frequently,Medium,3,No,0,28,332.16,0,63,1.2,396.36
21,Diesel,2391,Underweight,Male,Omnivore,Never,Public,None,Never,Small,1,Yes,16,27,427.192,336,225,0.4,988.592
22,Petrol,1191,Underweight,Female,Pescatarian,Never,Private,CNG,Very Frequently,Medium,5,No,16,23,229.2675,336,162,2,729.2675
23,Diesel,1890,Normal,Female,Vegan,Never,Walk/Bicycle,Petrol,Never,Medium,1,No,16,23,337.68,336,63,0.4,737.08
24,CNG,1431,Overweight,Female,Omnivore,No,Private,Electric,Very Frequently,Small,0,No,9,14,193.185,189,225,0,607.185
25,CNG,1340,Overweight,Male,Omnivore,Never,Public,None,Rarely,Large,6,No,9,20,180.9,189,225,2.4,597.3
26,Diesel,2438,Overweight,Male,Vegetarian,No,Walk/Bicycle,Diesel,Rarely,Extra Large,6,Yes,13,8,435.5893333,273,108,2.4,818.9893333
27,Diesel,2073,Underweight,Female,Pescatarian,No,Private,Electric,Rarely,Extra Large,5,No,0,23,370.376,0,162,2,534.376
28,Diesel,2786,Overweight,Female,Pescatarian,No,Private,Diesel,Frequently,Extra Large,1,No,1,6,497.7653333,21,162,0.4,681.1653333
29,CNG,2988,Underweight,Male,Pescatarian,Often,Walk/Bicycle,Electric,Frequently,Large,4,No,17,23,403.38,357,162,1.6,923.98
30,CNG,647,Normal,Female,Vegan,Never,Private,Electric,Rarely,Extra Large,0,Yes,19,24,87.345,399,63,0,549.345
31,Petrol,1532,Overweight,Female,Omnivore,Often,Public,Petrol,Rarely,Large,1,Yes,2,22,294.91,42,225,0.4,562.31
32,Petrol,1811,Underweight,Female,Vegetarian,Never,Walk/Bicycle,Electric,Rarely,Medium,4,No,3,24,348.6175,63,108,1.6,521.2175
33,CNG,887,Overweight,Male,Pescatarian,Often,Private,CNG,Never,Extra Large,4,No,4,7,119.745,84,162,1.6,367.345
34,Diesel,2373,Overweight,Female,Vegetarian,No,Walk/Bicycle,CNG,Rarely,Small,6,No,19,1,423.976,399,108,2.4,933.376
35,Diesel,1415,Normal,Female,Vegetarian,Often,Private,CNG,Frequently,Large,4,No,2,2,252.8133333,42,108,1.6,404.4133333
36,Petrol,2378,Obese,Male,Omnivore,No,Private,Diesel,Never,Extra Large,5,Yes,2,21,457.765,42,225,2,726.765
37,CNG,777,Overweight,Female,Pescatarian,Often,Walk/Bicycle,Petrol,Rarely,Small,1,No,3,21,104.895,63,162,0.4,330.295
38,Petrol,2477,Normal,Male,Vegetarian,Never,Private,Diesel,Frequently,Extra Large,4,No,5,22,476.8225,105,108,1.6,691.4225
39,Petrol,2359,Overweight,Male,Pescatarian,Never,Private,None,Never,Large,7,Yes,6,1,454.1075,126,162,2.8,744.9075
40,Electric,2325,Overweight,Male,Pescatarian,Often,Walk/Bicycle,CNG,Never,Large,0,No,3,27,279,63,162,0,504
41,Electric,2333,Overweight,Female,Pescatarian,Often,Private,Petrol,Frequently,Medium,9,No,23,0,279.96,483,162,3.6,928.56
42,Electric,1117,Overweight,Female,Vegetarian,Never,Private,CNG,Frequently,Large,6,Yes,14,26,134.04,294,108,2.4,538.44
43,Diesel,2130,Obese,Female,Omnivore,Often,Walk/Bicycle,Petrol,Never,Extra Large,7,No,5,11,380.56,105,225,2.8,713.36
44,CNG,2682,Obese,Female,Omnivore,Often,Public,Diesel,Frequently,Large,4,Yes,4,4,362.07,84,225,1.6,672.67
45,CNG,1079,Overweight,Female,Vegetarian,Never,Public,Diesel,Never,Small,3,Yes,7,29,145.665,147,108,1.2,401.865
46,CNG,1670,Overweight,Female,Vegan,No,Public,CNG,Never,Medium,0,No,5,26,225.45,105,63,0,393.45
47,CNG,989,Normal,Female,Pescatarian,Never,Public,Electric,Never,Medium,8,Yes,16,17,133.515,336,162,3.2,634.715
48,Electric,1682,Normal,Female,Pescatarian,Never,Public,Petrol,Never,Large,1,No,15,24,201.84,315,162,0.4,679.24
49,Diesel,883,Underweight,Male,Omnivore,Often,Public,None,Rarely,Extra Large,4,No,10,18,157.7626667,210,225,1.6,594.3626667
50,Diesel,662,Obese,Female,Vegetarian,Never,Walk/Bicycle,Electric,Frequently,Medium,6,No,0,27,118.2773333,0,108,2.4,228.6773333
51,Electric,2988,Overweight,Female,Vegetarian,Never,Walk/Bicycle,Diesel,Rarely,Extra Large,7,Yes,13,1,358.56,273,108,2.8,742.36
52,Diesel,2376,Obese,Male,Vegan,Often,Walk/Bicycle,Petrol,Rarely,Extra Large,9,Yes,12,27,424.512,252,63,3.6,743.112
53,Electric,1712,Normal,Female,Vegan,Often,Private,Electric,Rarely,Small,3,Yes,9,15,205.44,189,63,1.2,458.64
54,CNG,2962,Obese,Male,Omnivore,No,Public,None,Rarely,Medium,9,No,9,27,399.87,189,225,3.6,817.47
55,Electric,1862,Obese,Female,Vegan,Never,Public,Electric,Never,Large,0,No,21,22,223.44,441,63,0,727.44
56,CNG,2130,Overweight,Female,Vegan,No,Walk/Bicycle,None,Never,Extra Large,6,No,7,5,287.55,147,63,2.4,499.95
57,CNG,1704,Overweight,Male,Vegetarian,No,Private,Diesel,Never,Medium,9,Yes,8,23,230.04,168,108,3.6,509.64
58,Petrol,787,Normal,Male,Vegetarian,No,Private,Petrol,Very Frequently,Medium,8,No,3,24,151.4975,63,108,3.2,325.6975
59,Electric,2357,Overweight,Female,Vegan,No,Walk/Bicycle,Diesel,Never,Extra Large,0,Yes,10,2,282.84,210,63,0,555.84
60,Petrol,686,Normal,Male,Omnivore,Never,Public,Petrol,Rarely,Large,0,No,22,7,132.055,462,225,0,819.055
61,Electric,2407,Normal,Female,Vegan,Never,Private,Electric,Very Frequently,Medium,6,No,8,3,288.84,168,63,2.4,522.24
62,Electric,1661,Underweight,Female,Omnivore,Never,Public,Diesel,Very Frequently,Medium,8,No,11,17,199.32,231,225,3.2,658.52
63,Petrol,629,Underweight,Female,Vegan,No,Private,Petrol,Very Frequently,Large,4,No,12,19,121.0825,252,63,1.6,437.6825
64,Petrol,2741,Underweight,Female,Vegetarian,Often,Public,None,Never,Extra Large,3,Yes,7,3,527.6425,147,108,1.2,783.8425
65,Electric,2863,Obese,Female,Vegetarian,Never,Private,Petrol,Rarely,Extra Large,5,No,12,7,343.56,252,108,2,705.56
66,Diesel,2387,Underweight,Female,Omnivore,No,Public,Diesel,Never,Extra Large,8,No,23,25,426.4773333,483,225,3.2,1137.677333
67,CNG,643,Overweight,Male,Vegan,No,Public,Diesel,Frequently,Extra Large,1,No,0,23,86.805,0,63,0.4,150.205
68,Petrol,515,Overweight,Male,Vegan,No,Public,Electric,Very Frequently,Large,4,No,21,28,99.1375,441,63,1.6,604.7375
69,CNG,2970,Underweight,Male,Omnivore,No,Walk/Bicycle,None,Frequently,Small,3,Yes,10,6,400.95,210,225,1.2,837.15
70,Diesel,744,Obese,Female,Vegan,No,Public,Petrol,Very Frequently,Large,2,No,23,19,132.928,483,63,0.8,679.728
71,Diesel,1426,Normal,Male,Pescatarian,No,Public,Diesel,Very Frequently,Large,4,No,1,17,254.7786667,21,162,1.6,439.3786667
72,Diesel,2676,Obese,Female,Vegetarian,Never,Private,Petrol,Frequently,Extra Large,6,Yes,4,0,478.112,84,108,2.4,672.512
73,Petrol,1406,Obese,Male,Vegetarian,Often,Private,CNG,Frequently,Medium,2,No,10,26,270.655,210,108,0.8,589.455
74,Diesel,1386,Normal,Female,Omnivore,Never,Walk/Bicycle,None,Never,Large,2,No,3,17,247.632,63,225,0.8,536.432
75,Petrol,840,Normal,Female,Vegan,Never,Private,None,Frequently,Extra Large,5,Yes,7,1,161.7,147,63,2,373.7
76,Diesel,2551,Normal,Female,Omnivore,No,Public,CNG,Frequently,Medium,4,Yes,11,18,455.7786667,231,225,1.6,913.3786667
77,CNG,1933,Overweight,Female,Pescatarian,Never,Walk/Bicycle,None,Rarely,Large,2,No,2,9,260.955,42,162,0.8,465.755
78,CNG,805,Normal,Female,Vegan,Often,Walk/Bicycle,CNG,Frequently,Small,0,No,16,20,108.675,336,63,0,507.675
79,Electric,1407,Normal,Male,Pescatarian,Often,Walk/Bicycle,Petrol,Never,Small,9,No,22,0,168.84,462,162,3.6,796.44
80,CNG,1871,Obese,Female,Omnivore,No,Public,CNG,Very Frequently,Extra Large,1,No,7,20,252.585,147,225,0.4,624.985
81,Electric,820,Obese,Male,Vegetarian,Often,Public,Electric,Very Frequently,Medium,2,No,5,6,98.4,105,108,0.8,312.2
82,CNG,1058,Underweight,Female,Pescatarian,No,Private,CNG,Rarely,Medium,3,No,3,27,142.83,63,162,1.2,369.03
83,Petrol,1704,Obese,Female,Vegan,Often,Private,Petrol,Never,Extra Large,4,Yes,3,13,328.02,63,63,1.6,455.62
84,CNG,1909,Normal,Female,Omnivore,Often,Private,None,Very Frequently,Extra Large,9,No,6,0,257.715,126,225,3.6,612.315
85,Electric,2141,Overweight,Male,Omnivore,Never,Walk/Bicycle,Electric,Rarely,Medium,8,No,9,3,256.92,189,225,3.2,674.12
86,Electric,1631,Obese,Female,Omnivore,Often,Public,CNG,Very Frequently,Small,3,No,5,10,195.72,105,225,1.2,526.92
87,Diesel,2957,Obese,Male,Vegetarian,No,Private,Petrol,Never,Small,8,Yes,3,1,528.3173333,63,108,3.2,702.5173333
88,Petrol,1317,Normal,Female,Omnivore,Often,Public,Electric,Frequently,Large,4,No,20,7,253.5225,420,225,1.6,900.1225
89,CNG,1694,Obese,Male,Omnivore,Often,Walk/Bicycle,Electric,Rarely,Large,2,Yes,9,17,228.69,189,225,0.8,643.49
90,Diesel,511,Obese,Male,Vegetarian,Never,Public,Electric,Frequently,Medium,6,No,19,16,91.29866667,399,108,2.4,600.6986667
91,CNG,694,Normal,Male,Omnivore,No,Public,CNG,Never,Small,7,Yes,16,13,93.69,336,225,2.8,657.49
92,CNG,2729,Obese,Female,Omnivore,No,Walk/Bicycle,Petrol,Never,Large,8,No,19,29,368.415,399,225,3.2,995.615
93,Diesel,1155,Overweight,Female,Pescatarian,No,Private,Petrol,Very Frequently,Small,8,Yes,5,17,206.36,105,162,3.2,476.56
94,Diesel,2421,Underweight,Male,Omnivore,Never,Public,Petrol,Very Frequently,Small,5,Yes,10,9,432.552,210,225,2,869.552
95,Diesel,2577,Obese,Female,Vegetarian,Often,Public,Diesel,Rarely,Medium,8,Yes,17,19,460.424,357,108,3.2,928.624
96,Diesel,2119,Overweight,Female,Pescatarian,No,Walk/Bicycle,None,Very Frequently,Small,2,No,22,20,378.5946667,462,162,0.8,1003.394667
97,Diesel,1619,Obese,Female,Omnivore,Often,Public,Petrol,Very Frequently,Medium,1,No,8,17,289.2613333,168,225,0.4,682.6613333
98,CNG,1277,Underweight,Male,Vegetarian,Often,Public,Diesel,Never,Large,4,No,11,19,172.395,231,108,1.6,512.995
99,Diesel,943,Normal,Male,Vegan,Often,Public,Diesel,Never,Extra Large,6,Yes,10,22,168.4826667,210,63,2.4,443.8826667
100,Petrol,797,Underweight,Female,Omnivore,Never,Walk/Bicycle,Electric,Rarely,Small,6,Yes,17,4,153.4225,357,225,2.4,737.8225
101,Electric,1307,Obese,Male,Vegan,Often,Public,None,Frequently,Extra Large,5,Yes,22,7,156.84,462,63,2,683.84
102,Diesel,2260,Underweight,Female,Pescatarian,Never,Walk/Bicycle,Electric,Rarely,Extra Large,2,No,1,9,403.7866667,21,162,0.8,587.5866667
103,Diesel,1344,Underweight,Female,Vegetarian,Never,Private,None,Never,Medium,5,No,15,24,240.128,315,108,2,665.128
104,CNG,1515,Normal,Male,Pescatarian,Never,Public,Electric,Never,Small,0,Yes,8,0,204.525,168,162,0,534.525
105,Diesel,1884,Obese,Male,Vegan,No,Walk/Bicycle,CNG,Rarely,Small,2,Yes,15,16,336.608,315,63,0.8,715.408
106,Diesel,1897,Underweight,Female,Vegan,Never,Walk/Bicycle,None,Rarely,Large,1,Yes,11,18,338.9306667,231,63,0.4,633.3306667
107,Diesel,1053,Underweight,Female,Vegan,No,Public,Diesel,Frequently,Extra Large,3,No,16,23,188.136,336,63,1.2,588.336
108,CNG,2850,Normal,Female,Vegetarian,Never,Walk/Bicycle,Diesel,Never,Extra Large,7,No,12,16,384.75,252,108,2.8,747.55
109,Diesel,920,Overweight,Male,Vegan,Never,Private,None,Very Frequently,Medium,2,No,3,9,164.3733333,63,63,0.8,291.1733333
110,Electric,1769,Obese,Male,Vegan,Never,Private,Electric,Never,Small,5,Yes,12,17,212.28,252,63,2,529.28
111,CNG,1760,Overweight,Female,Vegetarian,Never,Private,CNG,Very Frequently,Small,9,Yes,11,29,237.6,231,108,3.6,580.2
112,Electric,684,Overweight,Female,Vegan,Often,Private,CNG,Very Frequently,Extra Large,0,No,1,0,82.08,21,63,0,166.08
113,CNG,967,Normal,Male,Omnivore,Often,Walk/Bicycle,Petrol,Very Frequently,Large,3,No,16,29,130.545,336,225,1.2,692.745
114,Diesel,2910,Normal,Female,Vegan,Never,Walk/Bicycle,None,Frequently,Extra Large,4,Yes,14,16,519.92,294,63,1.6,878.52
115,Electric,1806,Obese,Male,Vegetarian,Often,Private,CNG,Rarely,Small,4,Yes,12,27,216.72,252,108,1.6,578.32
116,CNG,2076,Overweight,Male,Vegan,No,Private,Electric,Very Frequently,Medium,0,Yes,1,12,280.26,21,63,0,364.26
117,Petrol,835,Underweight,Female,Vegetarian,Often,Private,Electric,Rarely,Medium,8,No,5,24,160.7375,105,108,3.2,376.9375
118,Diesel,2709,Overweight,Female,Vegan,Often,Private,Diesel,Very Frequently,Medium,4,Yes,20,27,484.008,420,63,1.6,968.608
119,CNG,1997,Normal,Male,Omnivore,Often,Private,CNG,Frequently,Small,8,No,11,9,269.595,231,225,3.2,728.795
120,Petrol,2559,Underweight,Female,Vegetarian,Never,Walk/Bicycle,CNG,Very Frequently,Small,6,No,0,0,492.6075,0,108,2.4,603.0075
121,CNG,1947,Underweight,Male,Vegetarian,No,Private,Electric,Rarely,Medium,4,No,14,19,262.845,294,108,1.6,666.445
122,Petrol,1087,Normal,Male,Vegetarian,Never,Private,Diesel,Frequently,Small,8,No,2,6,209.2475,42,108,3.2,362.4475
123,Diesel,2381,Underweight,Male,Vegetarian,No,Public,CNG,Rarely,Large,4,No,9,27,425.4053333,189,108,1.6,724.0053333
124,Electric,700,Overweight,Female,Vegan,Never,Walk/Bicycle,Electric,Rarely,Medium,9,Yes,5,20,84,105,63,3.6,255.6
125,Petrol,1021,Normal,Female,Vegan,Often,Private,Diesel,Rarely,Large,8,No,4,25,196.5425,84,63,3.2,346.7425
126,CNG,2387,Obese,Female,Omnivore,No,Walk/Bicycle,Diesel,Very Frequently,Large,4,Yes,21,12,322.245,441,225,1.6,989.845
127,Diesel,2211,Normal,Male,Omnivore,Often,Public,Electric,Frequently,Small,0,No,7,20,395.032,147,225,0,767.032
128,Petrol,1287,Obese,Male,Vegan,No,Public,Diesel,Frequently,Small,6,No,5,6,247.7475,105,63,2.4,418.1475
129,CNG,559,Obese,Male,Pescatarian,No,Private,Diesel,Frequently,Medium,4,Yes,10,5,75.465,210,162,1.6,449.065
130,CNG,1077,Normal,Male,Vegetarian,Never,Private,Petrol,Never,Small,4,No,13,21,145.395,273,108,1.6,527.995
131,CNG,820,Normal,Female,Vegan,Never,Private,Diesel,Never,Large,5,No,20,12,110.7,420,63,2,595.7
132,Petrol,1958,Obese,Female,Omnivore,Often,Private,CNG,Frequently,Small,5,No,19,7,376.915,399,225,2,1002.915
133,Petrol,2537,Obese,Female,Vegetarian,Often,Public,Diesel,Very Frequently,Medium,6,No,4,15,488.3725,84,108,2.4,682.7725
134,Petrol,1422,Underweight,Male,Omnivore,No,Walk/Bicycle,CNG,Never,Extra Large,7,No,12,25,273.735,252,225,2.8,753.535
135,Electric,1909,Normal,Male,Pescatarian,No,Private,Electric,Very Frequently,Extra Large,0,No,8,8,229.08,168,162,0,559.08
136,Petrol,2194,Normal,Female,Vegetarian,Never,Walk/Bicycle,Diesel,Very Frequently,Small,9,Yes,9,12,422.345,189,108,3.6,722.945
137,Petrol,1068,Underweight,Male,Pescatarian,Never,Private,Electric,Never,Extra Large,2,No,10,26,205.59,210,162,0.8,578.39
138,Petrol,1601,Normal,Female,Pescatarian,Never,Private,None,Rarely,Large,5,No,5,1,308.1925,105,162,2,577.1925
139,Electric,1026,Underweight,Male,Pescatarian,Never,Public,Diesel,Rarely,Extra Large,0,No,20,11,123.12,420,162,0,705.12
140,Petrol,2672,Underweight,Male,Vegan,Never,Private,Electric,Rarely,Extra Large,4,Yes,23,11,514.36,483,63,1.6,1061.96
141,CNG,1370,Normal,Male,Omnivore,No,Private,None,Never,Large,4,No,4,25,184.95,84,225,1.6,495.55
142,Petrol,779,Overweight,Male,Vegetarian,No,Private,CNG,Very Frequently,Medium,9,No,4,14,149.9575,84,108,3.6,345.5575
143,CNG,2392,Obese,Male,Vegan,Often,Public,CNG,Never,Extra Large,8,No,15,19,322.92,315,63,3.2,704.12
144,CNG,2251,Normal,Female,Omnivore,No,Walk/Bicycle,CNG,Frequently,Extra Large,1,No,23,9,303.885,483,225,0.4,1012.285
145,CNG,1173,Overweight,Female,Vegan,Never,Public,CNG,Very Frequently,Extra Large,6,Yes,7,24,158.355,147,63,2.4,370.755
146,Electric,1651,Underweight,Female,Omnivore,No,Private,CNG,Never,Medium,8,Yes,14,13,198.12,294,225,3.2,720.32
147,Electric,2861,Overweight,Male,Vegetarian,No,Private,Petrol,Very Frequently,Small,7,No,14,29,343.32,294,108,2.8,748.12
148,Electric,831,Normal,Female,Vegetarian,No,Private,Electric,Never,Small,0,Yes,8,25,99.72,168,108,0,375.72
149,Petrol,1673,Normal,Female,Vegetarian,Often,Walk/Bicycle,None,Frequently,Medium,0,No,14,16,322.0525,294,108,0,724.0525
150,CNG,2539,Overweight,Male,Vegetarian,Often,Walk/Bicycle,None,Frequently,Large,1,No,7,9,342.765,147,108,0.4,598.165
151,Electric,1977,Normal,Male,Omnivore,No,Private,Diesel,Frequently,Small,0,No,13,28,237.24,273,225,0,735.24
152,Electric,535,Obese,Female,Vegan,No,Private,Electric,Rarely,Medium,7,No,6,23,64.2,126,63,2.8,256
153,Petrol,2208,Overweight,Female,Vegetarian,Never,Walk/Bicycle,Petrol,Frequently,Medium,6,No,22,10,425.04,462,108,2.4,997.44
154,Electric,1943,Underweight,Female,Vegetarian,Often,Public,Petrol,Rarely,Large,5,No,11,16,233.16,231,108,2,574.16
155,Petrol,2753,Overweight,Female,Vegetarian,Never,Public,Electric,Very Frequently,Medium,1,No,0,10,529.9525,0,108,0.4,638.3525
156,Diesel,1879,Overweight,Female,Pescatarian,Never,Walk/Bicycle,CNG,Very Frequently,Small,8,Yes,14,14,335.7146667,294,162,3.2,794.9146667
157,Electric,939,Overweight,Male,Vegetarian,No,Walk/Bicycle,CNG,Very Frequently,Small,0,No,6,3,112.68,126,108,0,346.68
158,Diesel,1619,Overweight,Female,Vegetarian,No,Private,Electric,Never,Medium,0,No,14,24,289.2613333,294,108,0,691.2613333
159,Petrol,663,Underweight,Female,Omnivore,No,Walk/Bicycle,None,Never,Medium,1,Yes,9,3,127.6275,189,225,0.4,542.0275
160,CNG,647,Underweight,Female,Pescatarian,Never,Walk/Bicycle,CNG,Rarely,Large,6,Yes,5,20,87.345,105,162,2.4,356.745
161,Electric,2841,Underweight,Female,Omnivore,Never,Private,Diesel,Rarely,Large,9,No,15,14,340.92,315,225,3.6,884.52
162,Petrol,694,Overweight,Female,Vegan,Never,Walk/Bicycle,Petrol,Rarely,Extra Large,0,No,13,13,133.595,273,63,0,469.595
163,CNG,1162,Obese,Female,Pescatarian,No,Private,CNG,Never,Medium,2,Yes,11,28,156.87,231,162,0.8,550.67
164,CNG,979,Obese,Male,Omnivore,No,Public,None,Never,Extra Large,9,Yes,16,8,132.165,336,225,3.6,696.765
165,Diesel,622,Underweight,Male,Omnivore,No,Public,CNG,Very Frequently,Extra Large,7,No,9,15,111.1306667,189,225,2.8,527.9306667
166,Petrol,1923,Obese,Male,Vegan,Never,Public,CNG,Frequently,Extra Large,6,No,9,23,370.1775,189,63,2.4,624.5775
167,CNG,1464,Obese,Female,Vegan,Never,Private,Petrol,Frequently,Extra Large,7,Yes,7,0,197.64,147,63,2.8,410.44
168,Electric,2278,Obese,Female,Vegetarian,Often,Public,Diesel,Never,Small,5,No,10,2,273.36,210,108,2,593.36
169,Electric,1985,Obese,Male,Vegetarian,No,Public,Diesel,Frequently,Large,7,No,17,3,238.2,357,108,2.8,706
170,Diesel,2514,Obese,Female,Pescatarian,Never,Private,None,Very Frequently,Medium,4,No,12,18,449.168,252,162,1.6,864.768
171,CNG,1209,Normal,Female,Pescatarian,Often,Private,Electric,Frequently,Large,8,No,19,8,163.215,399,162,3.2,727.415
172,Petrol,2943,Underweight,Female,Vegan,Never,Public,Electric,Rarely,Large,9,No,15,21,566.5275,315,63,3.6,948.1275
173,Electric,1411,Overweight,Male,Pescatarian,Never,Public,Electric,Very Frequently,Large,0,No,22,18,169.32,462,162,0,793.32
174,CNG,1860,Obese,Male,Vegetarian,No,Public,None,Never,Large,6,Yes,13,7,251.1,273,108,2.4,634.5
175,CNG,2864,Normal,Male,Vegan,Often,Walk/Bicycle,CNG,Rarely,Large,5,Yes,11,24,386.64,231,63,2,682.64
176,Diesel,2234,Overweight,Female,Omnivore,Never,Private,Diesel,Never,Large,7,Yes,12,25,399.1413333,252,225,2.8,878.9413333
177,Electric,2323,Normal,Male,Vegan,Often,Private,Diesel,Never,Small,1,Yes,12,3,278.76,252,63,0.4,594.16
178,Electric,2079,Obese,Male,Pescatarian,Often,Private,CNG,Rarely,Large,0,Yes,15,12,249.48,315,162,0,726.48
179,Petrol,1180,Obese,Male,Vegetarian,No,Private,Diesel,Very Frequently,Medium,0,No,0,20,227.15,0,108,0,335.15
180,Electric,1833,Obese,Female,Vegetarian,Often,Public,Diesel,Never,Medium,1,No,23,18,219.96,483,108,0.4,811.36
181,Petrol,1055,Obese,Male,Omnivore,No,Private,Electric,Rarely,Extra Large,4,No,11,13,203.0875,231,225,1.6,660.6875
182,Electric,1109,Overweight,Male,Omnivore,No,Walk/Bicycle,Electric,Rarely,Extra Large,6,No,8,4,133.08,168,225,2.4,528.48
183,Diesel,2656,Overweight,Female,Vegan,No,Walk/Bicycle,Petrol,Never,Large,8,No,12,17,474.5386667,252,63,3.2,792.7386667
184,Electric,871,Normal,Male,Vegetarian,Often,Public,Petrol,Never,Extra Large,3,No,12,17,104.52,252,108,1.2,465.72
185,Petrol,1115,Underweight,Female,Omnivore,Never,Public,Diesel,Very Frequently,Extra Large,8,Yes,7,26,214.6375,147,225,3.2,589.8375
186,Petrol,2414,Obese,Female,Omnivore,No,Private,Electric,Rarely,Large,2,No,17,28,464.695,357,225,0.8,1047.495
187,Diesel,2753,Normal,Male,Vegan,Never,Public,Petrol,Frequently,Extra Large,5,No,23,20,491.8693333,483,63,2,1039.869333
188,Electric,1346,Normal,Male,Vegan,Often,Public,Petrol,Frequently,Medium,8,No,23,14,161.52,483,63,3.2,710.72
189,Electric,542,Normal,Male,Vegetarian,Never,Public,Electric,Never,Large,0,Yes,17,22,65.04,357,108,0,530.04
190,Diesel,1364,Obese,Female,Pescatarian,Never,Walk/Bicycle,Petrol,Never,Medium,3,Yes,8,16,243.7013333,168,162,1.2,574.9013333
191,Electric,1768,Obese,Male,Pescatarian,No,Private,CNG,Very Frequently,Medium,4,Yes,0,2,212.16,0,162,1.6,375.76
192,Electric,1878,Normal,Male,Vegetarian,No,Public,CNG,Frequently,Small,5,Yes,6,0,225.36,126,108,2,461.36
193,Petrol,1284,Obese,Male,Pescatarian,No,Private,Electric,Never,Small,7,No,12,23,247.17,252,162,2.8,663.97
194,Electric,975,Normal,Female,Vegetarian,Often,Private,Electric,Never,Extra Large,1,No,14,17,117,294,108,0.4,519.4
195,Electric,582,Overweight,Female,Vegetarian,Never,Private,Petrol,Frequently,Medium,5,Yes,1,21,69.84,21,108,2,200.84
196,Diesel,1633,Obese,Female,Omnivore,Often,Walk/Bicycle,Diesel,Never,Extra Large,6,Yes,23,26,291.7626667,483,225,2.4,1002.162667
197,Diesel,2737,Overweight,Male,Pescatarian,Often,Private,None,Frequently,Large,5,Yes,7,15,489.0106667,147,162,2,800.0106667
198,CNG,1299,Underweight,Male,Vegetarian,Often,Private,CNG,Frequently,Medium,3,Yes,19,5,175.365,399,108,1.2,683.565
199,Petrol,1435,Obese,Female,Pescatarian,Often,Public,CNG,Very Frequently,Extra Large,5,No,23,8,276.2375,483,162,2,923.2375
